CHEMBL7255	Oc1cnnc2nc3ccccc3n12
CHEMBL6909	CCOC(=O)C1=C(O)C(=O)N(CC2CCCCC2)C1
CHEMBL6931	CC(C)C(=O)c1c(O)cc(O)c(C(=O)C(C)C)c1O
CHEMBL3310009	Cc1ccc([C@H]2CC(c3cc(Cl)ccc3O)=NN2C(=O)c2snnc2C)cc1
CHEMBL3310013	Cc1ccc([C@H]2CC(c3cc(Br)ccc3O)=NN2C(=O)c2ccco2)cc1
CHEMBL3310219	O=C(O)/C(Cc1ccc(O)c([N+](=O)[O-])c1)=N\Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1
CHEMBL6647	CN(C)c1cccc2c(S(=O)(=O)Nc3ncc(Br)nc3O)cccc12
CHEMBL3310020	Cc1ccc([C@@H]2CC(c3cc(Br)ccc3O)=NN2C(=O)c2cccs2)cc1
CHEMBL3310225	CCCCCCCCCCCCCCCC(=O)Nc1nc(C)c(O)c(C)c1C
CHEMBL6732	CCC(c1ccc(O)cc1)C(CC)c1ccc(O)c(Br)c1
CHEMBL3310332	Cc1cc(O)cc(-c2nn(C)cc2-c2cc(N3CCOCC3)nc(-c3cccnc3)n2)c1
CHEMBL6759	Oc1nc(S)nc2ccc(Sc3ccc4ccccc4c3)cc12
CHEMBL7145	COC(=O)Cc1ccc(OCCCOc2cc3c(cc2O)CCO3)cc1
CHEMBL7236	Oc1nc2ccccc2nc1N1CCNCC1
CHEMBL3310230	Cc1nc(NC(=O)C2CCCC2)c(C)c(C)c1O
CHEMBL3310235	Cc1nc(NC(=O)c2ccc(F)cc2)c(C)c(C)c1O
CHEMBL6827	CNc1ncnc2c1ncn2Cc1cccc(O)c1
CHEMBL6828	CCOC(=O)C1=C(O)C(=O)N(Cc2ccccn2)C1
CHEMBL3310337	Cc1cc(O)cc(-c2c(-c3cc(N4CC(O)C4)nc(-c4cccnc4)n3)cnn2C)c1
CHEMBL7242	CCCc1cc(=O)oc2c(C(=O)[C@H](C)[C@H](C)O)c(O)c3c(c12)OC(C)(C)C=C3
CHEMBL6804	CC(=O)Nc1nc(O)c2ccccc2n1
CHEMBL3310238	Cc1nc(NC(=O)c2ccc3c(c2)OCO3)c(C)c(C)c1O
CHEMBL6913	CC(C)N[C@@H]1CCc2c(ccc(O)c2O)[C@H]1O
CHEMBL6936	CCOC(=O)C1=C(O)C(=O)N(c2ccccc2)C1
CHEMBL6967	Nc1nc(O)c2cc(S(=O)(=O)c3ccc4ccccc4c3)ccc2n1
CHEMBL3310252	O=C(O)Cc1csc(-c2ncccc2O)n1
