smiles,success,failed
CC(=O)OC(O)N1C2C(=O)OC(=O)C1(N=O)OC2=O, 797, 203
CC(=O)OC(C)(O)N1C2C(=O)OC(=O)C1(N=O)OC2=O, 843, 157
C=CC(=O)OC(C)(O)N1C2C(=O)OC(=O)C1(N=O)OC2=O, 868, 132
C=CC(=O)OC(C)(O)N1C2OC(=O)C1C(=O)OC2=O, 934, 66
C=C(C)C(=O)OC(C)(O)N1C2OC(=O)C1C(=O)OC2=O, 946, 54
C=C(C)C(=O)OC(O)(CN)N1C2OC(=O)C1C(=O)OC2=O, 960, 40
CC1=CC(N)C(O)(N2C3OC(=O)C2C(=O)OC3=O)OC1=O, 982, 18
CC1=CC(N)(N)C(O)(N2C3OC(=O)C2C(=O)OC3=O)OC1=O, 972, 28
CC1=CC(N)(N)C(O)(N2C(O)C(=O)OC(=O)C2C=O)OC1=O, 997, 3
CC1=CC(N)(N)C(O)(N2C(O)C(=O)OC(=O)C2C=O)OC1, 999, 1
NC12C=C(CN1)COC2(O)N1C(O)C(=O)OC(=O)C1C=O, 822, 178
NC1OC(O)(N2C(O)C(=O)OC(=O)C2C=O)C2(N)C=C1CN2, 835, 165
C=NC12C=C(CN1)C(N)OC2(O)N1C(O)C(=O)OC(=O)C1C=O, 789, 211
NC1OC(O)(N2C(O)C(=O)OC(=O)C2C=O)C23C=C1C(=C=N2)N3, 11, 989
CNC1OC(O)(N2C(O)C(=O)OC(=O)C2C=O)C23C=C1C(=C=N2)N3, 13, 987
CNC1OC(O)(N2C(O)C(=O)OC(=O)C2C=O)C2C=C1C(=C=N)N2, 4, 996
CNC1OC(O)(N2CC(=O)OC(=O)C2O)C2C=C1C(=C=N)N2, 1, 999
CNC1OC(O)(N(CC=O)C(O)C(=O)O)C2C=C1C(=C=N)N2, 1, 999
CNC1OC(O)(N(CC=O)C(O)C(=O)ON)C2C=C1C(=C=N)N2, 0, 1000
CNC1OC(O)(N(CC=O)C(O)C(=O)ON)C(N)C=C1C=C=N, 1000, 0
CNC(O)C(C=C=N)=CC(N)C(O)N(CC=O)C(O)C(=O)ON, 994, 6
CNC1OC(N)(C(O)N(CC=O)C(O)C(=O)ON)C=C1C=C=N, 997, 3
O=C(O)CN(CC(=O)O)CC(=O)O, 1000, 0
O=C(O)CN(CC(=O)O)CC(=O)O, 998, 2
O=CCN(CC(=O)O)CC(=O)O, 997, 3
O=CCN(CCO)CC(=O)O, 996, 4
COCCN(CC=O)CC(=O)O, 999, 1
N#COCCN(CC=O)CC(=O)O, 926, 74
COCCN(CC=O)CC(=O)O, 997, 3
COCCN(CC=O)C(=N)C(=O)O, 993, 7
COCC(C)N(CC=O)C(=N)C(=O)O, 997, 3
COCC(C)N(CC=O)C(=N)C=O, 1000, 0
COC1N=C(C=O)N(CC=O)C1C, 998, 2
COC1N=C2C(=O)C(=O)CN2C1C, 1000, 0
COC1N=C2C(O)C(=O)CN2C1C, 1000, 0
COC1N=C2C(O)C(=O)C(=O)N2C1C, 1000, 0
COC1NC2C(O)C(=O)C(=O)N2C1C, 985, 15
CCC(NC1NC(=O)C(=O)C1O)OC, 999, 1
O=C1NC(NC2CCCO2)C(O)C1=O, 997, 3
CC1(NC2NC(=O)C(=O)C2O)CCCO1, 997, 3
CC1(NC(CO)NC(=O)C=O)CCCO1, 999, 1
CC1(NC(CO)NC(=O)C(=O)O)CCCO1, 997, 3
CC12CCC(=C(O)C(NC(=O)C(=O)O)N1)O2, 850, 150
CC12NC3C(O)=C(CC1N3C(=O)C(=O)O)O2, 812, 188
CC12NC3C(O)=C(CC1N3C(=O)C(O)O)O2, 838, 162
CC12NC3C(O)=C(CC1N3C(=O)C(=O)O)O2, 828, 172
CC12NC3(O)C(O)=C(CC1N3C(=O)C(=O)O)O2, 821, 179
CC12OC3=C(O)C(O)(N(C(=O)C(=O)O)C1C3)N2O, 730, 270
CC1OC2=C(O)C(O)(N(C(=O)C(=O)O)CC2)N1O, 795, 205
CON1C(C)OC2=C(O)C1(O)N(C(=O)C(=O)O)CC2, 794, 206
CCN(C(=O)C(=O)O)C1(O)C(O)=COC(C)N1OC, 996, 4
CCN(C(=O)C(=O)O)C1C(O)=COC(C)N1OC, 997, 3
CCN(CC(=O)O)C1C(O)=COC(C)N1OC, 995, 5
CC1=CON2C(C)OC=C(O)C2N1CC(=O)O, 985, 15
CC1OC=C(O)C2N(CC(=O)O)C=CON12, 984, 16
COC(C)N1OC=CN(CC(=O)O)C1CO, 999, 1
CCC(OC)N1OC=CN(CC(=O)O)C1CO, 997, 3
CCCC(OC)N1OC=CN(CC(=O)O)C1CO, 999, 1
CCCC(OC=O)N1OC=CN(CC(=O)O)C1CO, 1000, 0
CCCC(OC=O)N1OC=CN(CC(=O)O)C1C(N)O, 999, 1
C#CCCC(OC=O)N1OC=CN(CC(=O)O)C1C(N)O, 901, 99
C#CC(N)CC(OC=O)N1OC=CN(CC(=O)O)C1C(N)O, 920, 80
C#CC(N)CC(OC=O)N1OC=CN(CC(O)O)C1C(N)O, 881, 119
O=C(O)CN(CC(=O)O)CC(=O)O, 997, 3
O=CCN(CC(=O)O)CC(=O)O, 998, 2
O=C(O)CN1CC(=O)OC(=O)C1, 1000, 0
NC1C(=O)OC(=O)CN1CC(=O)O, 998, 2
NC1C(=O)OC(=O)CN1CC=O, 999, 1
NC1(N)C(=O)OC(=O)CN1CC=O, 1000, 0
NC12NC(=O)CN1CC(=O)OC2=O, 959, 41
CC(=O)NC1(N)NCC(=O)OC1=O, 1000, 0
C=NC1(NC(C)=O)NCC(=O)OC1=O, 1000, 0
C=NC(NC)(NC(C)=O)C(=O)OC=O, 973, 27
C=NC(NC)(NC(=O)CC)C(=O)OC=O, 978, 22
C=NC(N=C)(NC(=O)CC)C(=O)OC=O, 980, 20
C=NC(N=C)(NC(=O)CCC)C(=O)OC=O, 981, 19
C=NC(N=C=O)(NC(=O)CCC)C(=O)OC=O, 979, 21
C=NC(N=C=O)(NC(=O)CCC)C(=O)OC, 984, 16
C=NC(NC(=O)CCC)C(=O)OC, 983, 17
C=COC(=O)C(N=C)NC(=O)CCC, 967, 33
C#CCC(=O)NC(N=C)C(=O)OC=C, 656, 344
C#CCC(=O)NC(NC)C(=O)OC=C, 652, 348
C#CCCNC(NC)C(=O)OC=C, 562, 438
C=CCCNC(NC)C(=O)OC=C, 960, 40
C=CCCNC(C)(NC)C(=O)OC=C, 979, 21
C=CCCNC(C)(NCO)C(=O)OC=C, 966, 34
C=CCCNC(C)(NC(=C)O)C(=O)OC=C, 971, 29
C=COC(=O)C1(NC(=C)O)C=C(C=C)CN1, 935, 65
C=COC(=O)C1(NC(=C)O)C=C(C=C)C(=N)N1, 938, 62
C=COC(=O)C1(NC(=C)O)C=C(C=C)C(=N)N1, 942, 58
C=COC(=O)C1(NCO)C=C(C=C)C(=N)N1, 904, 96
C=COCC1(NCO)C=C(C=C)C(=N)N1, 964, 36
C=CC1=CC2(COC=CN2CO)NC1=N, 947, 53
C=CC(=C)C(=N)NC1COC=CN1CO, 998, 2
C=C1C(=C)C2(COC=CN2CO)NC1=N, 927, 73
C=C1C(=C)C2(COC=CN2C(=C)O)NC1=N, 929, 71
C=CN(C(=C)O)C1(CO)NC(=N)C(=C)C1=C, 998, 2
C=CN1C(O)=C=C(O)C12NC(=N)C(=C)C2=C, 923, 77
C=C1C(=C)C2(NC1=N)C1=C=C(O)N2C(=C)O1, 899, 101
C=C1OC2=C=C(O)N1C21NC(=N)CC1=C, 938, 62
C=C1OC2=C=C3OC4C(=C)C2(NC4=N)N13, 1, 999
C=C1C2OC3=C=C4OCN3C14NC2=N, 0, 1000
N=C1NC23CC1OC1=C=C2OCN13, 0, 1000
COC1=C=C2NC13CC(O2)C(=N)N3, 1, 999
O=C(O)CN(CC(=O)O)CC(=O)O, 999, 1
NC(C(=O)O)N(CC(=O)O)CC(=O)O, 999, 1
NC(C(=O)O)N(CC(=O)O)C(O)C(=O)O, 996, 4
NC(C(=O)O)N(CC(=O)O)CC(=O)O, 998, 2
NOC(=O)C(N)N(CC(=O)O)CC(=O)O, 999, 1
NOC(=O)C(N)N(CC(=O)O)C(O)C(=O)O, 998, 2
O=C(O)CNC(O)C(=O)O, 968, 32
O=C(O)CNC(O)C(=O)O, 969, 31
O=C(O)CNCO, 929, 71
CNCO, 1000, 0
OC1=CN1, 996, 4
NC1=C(O)N1, 1000, 0
NC(N)=CO, 998, 2
COC=C(N)N, 1000, 0
NC(N)=COCO, 1000, 0
NC(N)=C1OC1O, 999, 1
NC(N)=CC(O)O, 1000, 0
NC(N)=C=C(O)O, 998, 2
COC(O)=C=C(N)N, 1000, 0
COC(=C=C(N)N)ON, 1000, 0
C=COC(=C=C(N)N)ON, 1000, 0
NOC(=C=C(N)N)OC=CO, 1000, 0
NOC=C=C(N)N, 999, 1
CNC(N)=C=CON, 998, 2
NOC1=C=C(N)NC1, 1000, 0
NOC1=C=C(N)N(O)C1, 1000, 0
CC(=C=C(N)NO)ON, 1000, 0
CC(=C=C(N)N(O)O)ON, 1000, 0
NOC1=C=C(N)N(O)OC1, 999, 1
CC1ON(O)C(N)=C=C1ON, 1000, 0
C=CC1ON(O)C(N)=C=C1ON, 1000, 0
C=C1NOC2=C=C(N)N(O)OC12, 994, 6
C=NC1=C=C2ONC(=C)C2ON1O, 985, 15
C=NC=C=C1ONC(=C)C1ONO, 1000, 0
C=NC1=C=C2ONC(=C)C2ON1O, 987, 13
C=C1NOC2=C=C(N=C=O)N(O)OC12, 992, 8
C=CNOC1=C=C(N=C=O)N(O)OC1, 1000, 0
C=CNOC1=C=C(N)N(O)OC1, 1000, 0
C=CNOC1=C=C(N=O)N(O)OC1, 1000, 0
C=C1NOC2=C=C(N=O)N(O)OC12, 982, 18
C=C1C2ON(O)C(N=O)=C=C2ON1O, 989, 11
O=C(O)CN(CC(=O)O)CC(=O)O, 999, 1
CC(C(=O)O)N(CC(=O)O)CC(=O)O, 999, 1
C=C(C(=O)O)N(CC(=O)O)CC(=O)O, 995, 5
