smiles,BDE,IP
C1=CC=C(C=C1)OC(=O)C2=C(C3=CC=CC=C3C=C2)O,75.00738372802735,141.58122275125743
C1=CC=C(C=C1)OC2C(C(C(C(O2)C(CO)O)O)O)O,84.91233444213867,149.35723997271302
C1=CC=C(C=C1)P(=S)(C2=CC=CC=C2)NN=CC3=CC(=C(C=C3)O)O,72.8451026916504,124.21644648981095
C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O,72.5773178100586,141.6444168035555
C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO,82.06467819213867,146.71542321956872
C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=CC=CC=C4C(=C3O)Br,78.73135757446289,146.84234876803518
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,76.31763381958008,156.00836518103006
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)O)O,74.79725646972656,150.37648371650218
C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O,80.69887161254883,151.442777578429
C1=CC=C2C(=C1)C(=O)N(C(=N2)C3=C(C=C(C=C3)Cl)Cl)O,79.60389862060548,134.0909774937427
C1=CC=C2C(=C1)C(=O)N(C(=N2)C3=CC=CC=C3Cl)O,79.60389862060548,143.94927576843978
C1=CC=C2C(=C1)C(=O)N(C(=N2)C=CC3=C(C=CC(=C3)Br)O)CCO,71.12929229736328,131.01327396845102
C1=CC=C2C(=C1)C(=O)N(C(N2)C3=CC=C(S3)Br)O,73.4903160095215,136.7865724475217
C1=CC=C2C(=C1)C(C(=O)N2)(C3=CC=CC=C3O)O,81.36376419067383,147.55327704550982
C1=CC=C2C(=C1)C3=C(C2=NO)C(=CC=C3)C(=O)O,77.76808319091798,145.92923768034697
C1=CC=C2C(=C1)C=C(N2)C3=CC=CC=C3C(=O)O,84.25122528076172,134.7822323015833
C1=CC=C2C(=C1)C=CC=C2N=CC3=C(C=C(C=C3)O)O,81.77903366088867,133.25915815905333
C1=CC=C2C(=C1)N(C(=S)N2CCC(=O)O)CCC(=O)O,84.3613494873047,134.94551242280724
C1=CC=C2C(=C1)N=C(N2CC(=O)O)SCCOC3=CC=CC=C3F,84.22312088012696,145.02187682971
C1=CC=C2C(=C1)NC(=O)C(=N2)C=C(C(F)F)O,83.15387649536133,148.38750044497968
C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O,83.20475692749024,145.80642117204906
C1=CC=C2C=C(C(=CC2=C1)C(=O)OCC3=CC(=CC=C3)F)O,83.66660842895509,143.11888457743643
C1=CC=C2C=C(C(=CC2=C1)C(=O)OCC3=CC=C(C=C3)F)O,83.66660842895509,139.857186936965
C1=CC=C2C=C(C(=CC2=C1)C(=O)OCC3=CC=CC=C3F)O,83.66660842895509,135.42980708049657
C1=CC=NC(=C1)NC(C2=CC(=CC=C2)F)C3=C(C(=O)C=C(O3)CO)O,80.91660003662109,138.18657331828834
C1=CC=NC(=C1)NN=CC2=CNC3=C2C=CC=C3C(=O)O,83.46364974975586,127.5462587492478
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,84.7593360900879,150.81624145905258
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,84.88107147216797,159.08388429251434
C1=CN(C=C(C1=O)O)CC(C(=O)O)N,80.13052139282227,135.41186085374594
C1=CN(N=C1)C2=CC(=C(C=C2O)N3C=CC=N3)O,78.48583374023438,153.95554594854593
C1=CN2C3C(C(C(O3)CO)O)OC2=NC1=N,84.6297592163086,138.85243026073456
C1=CSC(=C1)C2=CC(=NO2)COCC(=O)NC3=C(C=CC(=C3)Cl)O,78.28079452514649,141.64447398428442
C1=CSC(=C1)C=CC(=O)C2=C(C=CC(=C2)Cl)O,84.37849502563476,152.38928276161673
C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N,84.61518173217773,138.6481719000244
C1=NC2=C(N1COCCO)N=C(NC2=O)N,84.54296035766602,142.12652264891983
C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)F)Cl)N,84.34545364379883,161.60283450422287
C1=NN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,84.83797760009766,152.30386767326715
C1=NN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,84.96107940673828,166.83258616980552
C1C(=NN(C1(C2=CC=C(C=C2)F)O)C(=O)C3=CC=CC=C3)C(F)(F)F,75.0187614440918,159.1081748311007
C1C(=NN(C1=O)C2=CC=C(C=C2)S(=O)(=O)O)C(=O)O,71.59490661621093,172.50767399789572
C1C(=O)N(C(=S)S1)C2=CC(=CC(=C2)C(=O)O)C(=O)O,74.6653450012207,163.14193464565994
C1C(=O)NC2=C(O1)C=CC(=C2)C(=O)C=CC(=O)O,77.46624069213867,157.9137257601285
C1C(=O)NC2=C(O1)C=CC(=C2)NC(=O)C=CC(=O)O,77.46624755859375,146.55425493661167
C1C(C(C(=CC1=O)O)N2C=NC=N2)C3=C(C=CC(=C3)F)F,81.41246109008789,162.95215015695572
C1C(C(C(=CC1=O)O)N2C=NC=N2)C3=CC4=C(C=C3)OCO4,77.9901237487793,149.87460515995028
C1C(C(C(=CC1=O)O)N2C=NC=N2)C3=CC=C(C=C3)F,78.2691421508789,162.47728482138993
C1C(C(C(=O)O1)CC2=CC(=CC=C2)O)CC3=CC(=CC=C3)O,81.39609832763672,154.65634306543112
C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO,81.41512527465821,139.54503733783244
C1C(C(C(C(N1CCO)CO)O)O)O,82.01642074584962,149.14308494738341
C1C(C(C(C1N2C=C(C3=C(N=CN=C32)N)I)O)O)N,84.96504135131836,131.62116889529466
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,83.2117057800293,136.20047217542887
C1C(C(C=C2C1N3CC2C4=CC5=C(C=C4C3)OCO5)O)O,82.26239776611328,137.18204866386176
C1C(C(COC12CN3C(=CC=C3C=O)CO2)O)O,72.1859504699707,154.96820401184561
C1C(C(OC12CN3C(=CC=C3C=O)CO2)CO)O,72.78186264038087,147.2232810109949
C1C(C(OC1N2C3=NC=NC(=C3C=N2)N)CO)O,84.29476547241211,150.84307186665058
C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,84.39274978637695,159.5873056291175
C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,84.29476547241211,162.83402136879923
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,69.24931869506837,137.82950220863344
C1C(C2=C(CN1)SC=C2)C3=CC(=C(C=C3)O)O,70.65502624511718,137.4738897573805
C1C(C2=C(O1)C3=CC=CC=C3OC2=O)O,83.89096298217774,154.52940926974418
C1C(C2C(O1)C(CO2)O)O,83.96050643920898,170.87930209288837
C1C(C=C(OC1OCC2=CC=C(C=C2)CO)C(=O)N)C3=CC=CC=C3,75.4371826171875,140.82163889671804
C1C(CC(=O)C(=C1O)C=NC2=CC=CC=C2O)C3=CC=CC=C3,83.96241531372071,126.99299973397257
C1C(CC(=O)C(=C1O)C=NCC(=O)O)C2=CC=CC=C2,75.25850372314453,130.53015783857344
C1C(CN(C1=O)C2=CC=C(C=C2)OCC3=CC=C(C=C3)Br)C(=O)O,83.77956848144531,143.77694679686547
C1C(NC(N=C1C2=CC=CS2)C3=CC=C(C=C3)Cl)C4=CC=CC=C4O,84.04391326904297,128.67133604994058
C1C(NC(S1)CCC2=CC=CC=C2)C(=O)O,84.61542205810547,152.9571484291482
C1C(NC2=CC=CC=C21)C(=O)O,77.64872360229492,141.02697159535407
C1C(OC(=O)C2=C1C=CC=C2O)C3=CC=C(C=C3)O,80.31731643676758,148.69708185964348
C1C(OC(C1O)N2C=NC3=C(N=CN=C32)N)CO,84.15365982055664,153.70244727303148
C1C(OC(O1)CO)N2C=CC(=NC2=O)N,84.33155593872071,157.11095945896625
C1C(OC(S1)CO)N2C=CC(=NC2=O)N,80.9348991394043,152.6928607495594
C1C(OC2(CC3=CC=CC=C3CO2)C(C1O)O)CCO,73.42223510742188,146.93635361145974
C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC(=CC(=C3)O)O,79.49735870361329,151.32466555962085
C1C(OC2=C(N1S(=O)(=O)C3=CC=CS3)C=C(C=C2)CC(=O)O)C(=O)O,77.95211791992188,150.2117443870616
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,78.71694488525391,147.25653765281916
C1C(ON=C1C(=O)O)CNC(=O)C2=CC=CC=C2Cl,82.7959831237793,158.75478280651808
C1C(ON=C1C(=O)O)CNC2=C(C=C(C=N2)C(F)(F)F)Cl,81.46825790405273,155.3288417694664
C1C2=C(C(=C(N2CS1)C3=CC(=C(C=C3)Cl)Cl)C(=O)O)C(=O)O,79.64172592163087,140.2058150920701
C1C2=C(C(=C(N2CS1)C3=CC=C(C=C3)Br)C(=O)O)C(=O)O,79.64172592163087,141.32501487360835
