ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX ApKa,CX BpKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles
CHEMBL1927339,,,Small molecule,0,172.19,5,9,1.08,66.88,2,1,0,2,N,0.54,None,None,1.14,1.14,1,MOL,-1,13,3,2,0,172.0637,NEUTRAL,C10H8N2O,N#C/C(=C\c1ccccc1)C(N)=O
CHEMBL1927351,,,Small molecule,0,190.18,2,3,1.22,66.88,2,1,0,2,N,0.56,None,None,1.28,1.28,1,MOL,-1,14,3,2,0,190.0542,NEUTRAL,C10H7FN2O,N#C/C(=C\c1ccc(F)cc1)C(N)=O
CHEMBL2365743,,,Small molecule,0,196.64,5,8,1.16,74.26,2,3,0,2,N,0.38,None,8.52,1.57,0.45,1,MOL,-1,13,4,4,0,196.0516,BASE,C8H9ClN4,N=C(N)N/N=C/c1ccccc1Cl
CHEMBL1188912,,,Small molecule,0,192.23,13,15,0.3,123.8,2,6,1,2,N,0.3,None,10.55,-0.08,-4.62,1,MOL,-1,14,6,8,1,192.1123,BASE,C8H12N6,N=C(N)Nc1ccc(NC(=N)N)cc1
CHEMBL1938852,,,Small molecule,0,199.28,3,3,1.1,71.77,4,2,0,3,N,0.56,7.63,None,1.5,1.33,1,MOL,-1,13,4,3,0,199.0779,NEUTRAL,C8H13N3OS,CC(C)CSc1nc(N)cc(=O)[nH]1
CHEMBL202824,,,Small molecule,0,197.33,1,1,2.84,12.36,2,1,0,2,Y,0.44,6.55,4.14,3.62,2.89,1,MOL,-1,12,1,0,0,197.0333,NEUTRAL,C9H11NS2,CS/C(S)=N\Cc1ccccc1
CHEMBL1269724,,2-(3-Methylbenzylidene)Hydrazinecarbothioamide,Small molecule,0,193.28,1,2,1.16,50.41,2,2,0,2,Y,0.42,11.71,2.94,2.18,2.18,1,MOL,-1,13,3,3,0,193.0674,NEUTRAL,C9H11N3S,Cc1cccc(/C=N/NC(N)=S)c1
CHEMBL1969978,,,Small molecule,0,138.56,67,67,1.61,36.68,2,0,0,0,Y,0.51,None,None,1.44,1.44,1,MOL,-1,9,2,0,0,137.9985,NEUTRAL,C6H3ClN2,N#Cc1cccnc1Cl
CHEMBL1974992,,,Small molecule,0,186.23,54,54,3.39,0,1,0,0,0,N,0.58,None,None,3.46,3.46,1,MOL,-1,12,0,0,0,186.0315,None,C9H8F2S,Fc1sc2c(c1F)C1CCC2C1
CHEMBL1970759,,,Small molecule,0,146.15,59,59,1.37,56.38,3,1,0,1,Y,0.37,5.83,1.49,1.55,0.03,1,MOL,-1,11,3,1,0,146.048,ACID,C8H6N2O,N#Cc1ccccc1/C=N/O
CHEMBL1970770,,,Small molecule,0,181.15,53,53,0.19,102.14,6,1,0,2,N,0.65,None,None,-0.84,-0.84,1,MOL,-1,13,6,2,0,181.0487,NEUTRAL,C7H7N3O3,CC(=O)OCc1nc(C#N)c(N)o1
CHEMBL1970842,,,Small molecule,0,133.15,55,55,1.74,50.74,3,1,0,0,Y,0.58,None,4.71,1.57,1.57,1,MOL,-1,10,3,2,0,133.064,NEUTRAL,C7H7N3,NC1N=Nc2ccccc21
CHEMBL1970870,,,Small molecule,0,181.28,56,56,3.45,26.03,2,0,0,4,N,0.71,None,1.72,2.85,2.85,1,MOL,-1,13,2,0,0,181.1467,NEUTRAL,C11H19NO,CCCCc1nc(C)oc1C(C)C
CHEMBL41326,,,Small molecule,0,147.18,1,4,1.21,20.31,1,0,0,0,Y,0.54,12.23,None,0.94,0.94,1,MOL,-1,11,2,0,0,147.0684,NEUTRAL,C9H9NO,CN1C(=O)Cc2ccccc21
CHEMBL37568,,,Small molecule,0,179.27,1,1,1.78,54.7,2,2,0,1,Y,0.69,None,10.12,1.04,-1.52,1,MOL,-1,13,3,3,0,179.1422,BASE,C10H17N3,C[C@]1(N)CCCC[C@@H]1c1c[nH]cn1
CHEMBL37772,,,Small molecule,0,160.17,1,3,1.7,34.14,2,0,0,0,Y,0.54,7.79,None,1.75,1.6,1,MOL,-1,12,2,0,0,160.0524,NEUTRAL,C10H8O2,CC1C(=O)c2ccccc2C1=O
CHEMBL1255740,,,Small molecule,0,170.17,1,1,0.43,75.96,5,4,0,2,N,0.38,9.53,2.81,0.9,0.9,1,MOL,-1,12,5,4,0,170.0691,NEUTRAL,C7H10N2O3,CN(NO)c1ccc(O)c(O)c1
CHEMBL1255762,,,Small molecule,0,199.17,3,5,-0.67,113.35,7,2,0,4,N,0.29,3.24,None,-0.43,-2.07,1,MOL,-1,14,8,2,0,199.0705,ACID,C6H9N5O3,CCOC(=O)C/C(=N/O)c1nnn[nH]1
CHEMBL1307181,,,Small molecule,0,199.28,11,14,0.73,58.36,4,2,0,2,N,0.42,None,2.73,1.06,1.06,1,MOL,-1,13,4,3,0,199.0779,NEUTRAL,C8H13N3OS,Cc1csc(C(=O)NN)c1N(C)C
CHEMBL1889459,,,Small molecule,0,175.23,6,6,1.24,20.31,1,0,0,0,Y,0.58,None,None,1.29,1.29,1,MOL,-1,13,2,0,0,175.0997,NEUTRAL,C11H13NO,CN1CCc2ccccc2CC1=O
CHEMBL205268,,,Small molecule,0,168.19,4,6,1.72,38.69,3,1,0,2,Y,0.73,9.75,None,1.87,1.87,1,MOL,-1,12,3,1,0,168.0786,NEUTRAL,C9H12O3,COc1cc(C)cc(OC)c1O
CHEMBL1193048,,,Small molecule,0,199.21,,,-0.68,117.78,5,3,0,6,N,0.52,1.76,9.53,-2.75,-4.27,1,MOL,-1,14,7,4,0,199.1069,ZWITTERION,C7H13N5O2,NC(CCCCc1nnn[nH]1)C(=O)O
CHEMBL1964627,,,Small molecule,0,196.27,59,59,2.39,37.3,2,1,0,4,N,0.8,4.43,None,2.58,-0.28,1,MOL,-1,13,2,1,0,196.0558,ACID,C10H12O2S,CC(SCc1ccccc1)C(=O)O
CHEMBL1188176,,,Small molecule,0,133.19,,,1.11,26.02,1,1,0,0,Y,0.56,None,9.97,1.49,-0.96,1,MOL,-1,10,1,2,0,133.0891,BASE,C9H11N,NC1Cc2ccccc2C1
